Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1854.02919215584
FDW14,OUT017,1542.62356576218
NCN55,OUT010,1892.50736651856
FDQ58,OUT017,2589.37165763993
FDY38,OUT027,5153.66580693546
FDH56,OUT046,1906.31255653959
FDL48,OUT018,588.8326170171
FDC48,OUT027,2785.90184263568
FDN33,OUT045,1507.4003980206
FDA36,OUT017,3081.84914995731
FDT44,OUT017,2022.24591524091
FDQ56,OUT045,1347.36345384062
NCC54,OUT019,1876.29626089607
FDU11,OUT049,2077.3648844067
DRL59,OUT013,894.682554027375
FDM24,OUT049,2530.70808185835
FDI57,OUT045,3100.12106074804
DRC12,OUT018,2755.09461722988
NCM42,OUT027,3185.31619889359
FDA46,OUT010,1193.07475239477
FDA31,OUT013,2826.32350428884
NCJ31,OUT035,3898.58706156077
FDG52,OUT046,833.365695923316
NCL19,OUT019,360.258163783651
FDS10,OUT035,3026.83122676811
FDX22,OUT010,1436.99474984519
NCF19,OUT035,925.700792695757
NCE06,OUT046,2547.00353672049
DRC27,OUT046,3847.12416567957
FDE21,OUT035,2034.67575447791
NCR42,OUT019,-1344.13034506922
FDX51,OUT018,2827.84419470891
NCR06,OUT018,426.735694414953
FDU31,OUT027,4898.92498217977
FDU59,OUT017,2731.9159615647
FDR03,OUT027,4703.33389113962
FDS49,OUT027,2775.16139861897
FDD48,OUT010,-38.8918946347883
NCF18,OUT017,3119.94062416758
NCD43,OUT027,3088.00913643473
NCD54,OUT018,1987.52254993207
FDY19,OUT010,1.74804105885655
NCY54,OUT017,2838.47235596788
NCL19,OUT018,2010.22155395358
FDP23,OUT010,1556.39175833153
FDC26,OUT013,1855.24082025942
FDR14,OUT010,-938.377801882663
NCS41,OUT035,3022.73693281255
FDF41,OUT035,4068.94182122931
FDU34,OUT046,2026.19804808714
DRH11,OUT046,946.851831362796
FDM03,OUT013,1770.300417578
FDS31,OUT017,2991.25409209266
FDJ20,OUT017,2083.95863919533
FDV44,OUT027,4450.13889885611
FDG02,OUT049,3105.48260332972
FDA09,OUT013,2898.32838084304
