Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1846.7690297051
FDW14,OUT017,1532.6300776367
NCN55,OUT010,1911.18368616005
FDQ58,OUT017,2588.16522440567
FDY38,OUT027,5175.96977198825
FDH56,OUT046,1907.56903081523
FDL48,OUT018,570.217157487428
FDC48,OUT027,2788.32932347491
FDN33,OUT045,1505.19529811253
FDA36,OUT017,3084.77687927016
FDT44,OUT017,2016.27867559357
FDQ56,OUT045,1343.81490422956
NCC54,OUT019,1878.7705190256
FDU11,OUT049,2071.97954074206
DRL59,OUT013,881.057663961576
FDM24,OUT049,2529.12838311581
FDI57,OUT045,3111.28624925834
DRC12,OUT018,2755.94351200571
NCM42,OUT027,3194.65633583195
FDA46,OUT010,1202.31987597447
FDA31,OUT013,2827.63460747408
NCJ31,OUT035,3912.16047695181
FDG52,OUT046,825.615186539021
NCL19,OUT019,350.005854671369
FDS10,OUT035,3029.52685774357
FDX22,OUT010,1448.28748967879
NCF19,OUT035,914.317950671471
NCE06,OUT046,2557.19809322675
DRC27,OUT046,3865.95242337668
FDE21,OUT035,2029.04261498482
NCR42,OUT019,-1368.69035199292
FDX51,OUT018,2828.02439173494
NCR06,OUT018,410.319215872245
FDU31,OUT027,4919.09049422028
FDU59,OUT017,2731.90613392519
FDR03,OUT027,4721.85748984249
FDS49,OUT027,2777.49871748717
FDD48,OUT010,-39.9886657627186
NCF18,OUT017,3126.74784045066
NCD43,OUT027,3096.53241733507
NCD54,OUT018,1984.20828755709
FDY19,OUT010,0.992426842017967
NCY54,OUT017,2842.9167524455
NCL19,OUT018,2007.09784114431
FDP23,OUT010,1568.68679095702
FDC26,OUT013,1848.4000510747
FDR14,OUT010,-947.025417480437
NCS41,OUT035,3028.95791716739
FDF41,OUT035,4080.3855770567
FDU34,OUT046,2028.46091578547
DRH11,OUT046,941.333398199986
FDM03,OUT013,1762.74660579341
FDS31,OUT017,2993.42131011104
FDJ20,OUT017,2078.50945455768
FDV44,OUT027,4466.53702122648
FDG02,OUT049,3108.72791961175
FDA09,OUT013,2900.24393777186
FDT04,OUT013,697.899133150693
FDL58,OUT019,2274.75010670344
FDE52,OUT045,1418.02357271724
FDW12,OUT035,2470.11078214707
FDL51,OUT017,3522.7274281285
NCY42,OUT027,3688.10984335458
FDR07,OUT017,1680.55483092004
FDN40,OUT045,2393.03375631485
FDB35,OUT027,2933.62904214637
FDA22,OUT017,2756.2329095505
NCL06,OUT046,4134.24531225345
FDI35,OUT013,2925.1443551651
NCW42,OUT045,3427.77597257026
NCX06,OUT049,2932.78983182302
FDC37,OUT027,3211.30595161963
FDZ14,OUT018,1696.80282540224
DRG49,OUT049,3958.77929942772
NCG06,OUT045,3967.42011288344
DRC36,OUT045,2690.88946452613
FDV21,OUT019,117.570238450839
FDB53,OUT046,2398.43803276394
DRP47,OUT019,2076.5272727802
FDA14,OUT013,2362.61066126469
DRC24,OUT035,2562.97996925876
FDW21,OUT018,1357.92083338685
NCH29,OUT046,1559.29835604193
FDU58,OUT013,3040.90775802543
FDY27,OUT017,2940.46232798273
FDV56,OUT035,1910.73523558851
FDT59,OUT046,3675.53295953602
FDB23,OUT046,3596.64786359249
FDR49,OUT045,733.491239348711
FDB03,OUT010,1958.96895594877
FDN39,OUT045,2596.9540519545
FDX02,OUT027,5003.10407227372
FDQ16,OUT027,3205.03018597389
FDU35,OUT018,1339.74823629343
NCT29,OUT013,1963.5539843209
FDZ27,OUT046,831.769365070915
FDN57,OUT017,2360.28914971887
FDA03,OUT018,2058.98589662095
FDZ36,OUT045,2907.81800827275
NCU05,OUT013,1324.76022908885
FDT39,OUT018,2145.13192559426
FDK60,OUT017,1686.74953848988
FDZ25,OUT017,2810.21758810079
FDG12,OUT046,1984.89531760681
DRB01,OUT019,1127.44320299782
NCC43,OUT027,5391.25848753734
FDX13,OUT019,2046.42197736258
FDM22,OUT049,992.569673001838
FDJ03,OUT027,2286.54865746256
FDU14,OUT018,3682.71633213022
FDB33,OUT010,661.609510201351
FDP27,OUT046,3053.35299224544
FDO38,OUT010,-621.720653178526
FDE28,OUT027,5142.24961241329
FDO27,OUT035,1698.98036515116
DRL23,OUT027,3164.5775439377
FDS28,OUT046,953.727475501093
FDX24,OUT013,1542.21252221229
FDZ02,OUT035,1714.5279276327
FDL46,OUT045,1835.70960260025
FDS60,OUT027,4311.39186395131
NCO06,OUT017,646.766655394177
FDO16,OUT035,1531.40526369835
FDC60,OUT049,1527.04480216716
FDA48,OUT018,3221.87622968465
FDZ36,OUT027,4430.76546880756
FDK27,OUT045,1893.83759587643
FDW23,OUT018,394.274368506957
FDM14,OUT018,1505.84558667019
FDM14,OUT013,1786.62132676466
FDW60,OUT018,2561.34020440122
FDE21,OUT013,1914.81467380264
NCM42,OUT035,1877.47183185935
FDY59,OUT010,-352.863485886989
DRI49,OUT049,1403.56374946157
FDT28,OUT019,529.102089801955
FDQ22,OUT018,406.211728992582
FDR60,OUT049,1358.40347525442
FDC50,OUT019,-352.582189868467
FDV24,OUT013,2465.94411994738
DRF48,OUT010,1089.75048733252
FDQ47,OUT046,651.764319440465
DRN36,OUT049,1653.71520692972
NCY06,OUT035,2176.85048234605
FDE52,OUT035,1608.19843775996
NCB54,OUT045,1951.39664857642
NCF31,OUT035,2551.05197212629
FDJ08,OUT027,4483.15080916795
NCC07,OUT017,1785.33021283256
NCD19,OUT027,2322.81749476523
FDL46,OUT049,2019.55367134372
FDM20,OUT045,3850.74789952325
NCI06,OUT010,955.823850731919
DRM11,OUT035,4225.10699179883
NCH07,OUT018,2219.30476623572
FDS23,OUT013,2118.24238575027
FDO49,OUT018,554.588536929989
FDS35,OUT049,1183.03432804187
DRK39,OUT045,1269.56104454252
DRI39,OUT049,1044.49829654675
FDV04,OUT017,2634.84844088824
NCN14,OUT035,3018.04625310375
FDH08,OUT013,3702.01742507678
FDS20,OUT046,2934.51250011916
FDV40,OUT049,1340.80451992892
FDZ48,OUT010,-93.9733443130125
FDS24,OUT027,2889.53033123774
FDK44,OUT049,2883.55793761274
FDS48,OUT045,2358.28790031791
FDK26,OUT010,1096.48296979375
FDD23,OUT045,2952.4903609493
NCH54,OUT017,2648.84189540956
NCP14,OUT010,-196.687930998103
FDM60,OUT010,-1202.91952786437
FDV24,OUT017,2530.0372311295
FDH08,OUT018,3355.77170060046
FDS12,OUT027,3514.37586217815
FDR39,OUT027,4340.43559607042
FDP12,OUT027,2093.54002588655
DRF60,OUT027,5181.09359193674
FDC09,OUT035,1813.67754255156
FDF50,OUT018,2884.63410489712
FDG28,OUT035,4014.42300898283
NCE19,OUT017,996.560311473205
NCM53,OUT010,-170.228704452922
NCN18,OUT049,1854.97930227269
FDF32,OUT035,3316.51609309058
FDF11,OUT013,3832.22163592077
DRI59,OUT049,3646.39706299546
NCG54,OUT035,2814.61854115611
FDM44,OUT046,1662.05347176497
FDT57,OUT018,3471.49457442284
FDV24,OUT046,2438.43395798464
FDI50,OUT019,1722.59496413671
FDS09,OUT035,1010.38577513265
NCC31,OUT027,3894.65517360612
FDQ07,OUT019,1585.58187491701
FDC22,OUT017,3162.5552207158
FDZ56,OUT046,2721.23934956782
FDZ40,OUT019,-988.258326796617
FDS46,OUT027,3370.06131089072
DRD24,OUT045,2175.07951614624
FDV45,OUT017,3120.05584799707
FDL26,OUT045,2441.31631098731
FDA56,OUT018,1707.18137673591
FDN27,OUT046,1923.64970602673
FDM20,OUT049,3984.71007540435
FDO16,OUT017,1462.5647238749
FDL03,OUT035,3261.46518908035
FDE58,OUT046,1905.43657989536
FDI02,OUT027,3274.0698433137
NCC55,OUT019,-1262.7723877363
FDR03,OUT018,2997.19883137765
FDB14,OUT017,1615.12537557613
FDR45,OUT013,3855.11118950798
NCN07,OUT017,2158.38441907697
FDM51,OUT019,-234.767394164169
FDT52,OUT027,5342.51917701907
FDL26,OUT046,2486.6354545812
NCZ42,OUT046,3765.82700442693
DRI47,OUT019,411.323160974192
FDW40,OUT013,2300.33935326264
FDN34,OUT046,2719.1474276859
FDS01,OUT035,2992.68907986472
NCG55,OUT045,1784.35465985358
FDC11,OUT035,1574.93033283907
FDX35,OUT018,3318.40080999163
NCB06,OUT046,2541.65053074521
FDR09,OUT019,2222.36476634305
FDC53,OUT017,1682.56569472605
FDY45,OUT013,4078.22977866304
FDA22,OUT010,809.534263484693
FDE02,OUT035,1697.46208503716
FDW21,OUT045,1584.57297774807
FDV34,OUT046,1228.77935036248
FDS59,OUT049,1866.95249060453
NCW17,OUT017,2125.19737223198
NCK54,OUT046,1868.60350320824
FDG17,OUT019,1978.44854548269
FDG35,OUT017,2869.37127779895
FDD08,OUT010,-1227.28683252763
NCO07,OUT017,3423.00887263346
FDJ10,OUT010,400.62744674546
FDW36,OUT017,1793.61214109259
FDW21,OUT010,-242.35015225042
FDY19,OUT017,2011.60224813773
DRE03,OUT013,803.77190620795
NCC55,OUT049,720.640117636088
FDH52,OUT010,-825.600419780226
FDO09,OUT017,4297.50857615827
FDU43,OUT045,3745.40357703454
FDX09,OUT010,911.187325901584
